estimator_label,dgp,n,p,pi,tau,replications,resolved_replications,unresolved_replications,convergence_rate,bias,median_bias,mae,rmse,estimate_sd,empirical_coverage,coverage_mcse,coverage_mc95_lower,coverage_mc95_upper,mean_cr_length,median_cr_length,full_grid_rate,empty_region_rate,disconnected_region_rate,unresolved_rate,boundary_estimate_rate,iteration_warning_rate,rank_failure_rate,refinement_limit_rate,numerical_limit_rate,mean_selected_controls,median_selected_controls,min_selected_controls,max_selected_controls,mean_retained_instruments
DML-IVQR,dgp2,1000,500,0.5,0.5,500,500,0,1,-0.0532,0,0.6692,0.8470655228,0.8462399211,0.946,0.01010781876,0.9261886752,0.9658113248,2.918260839,2.904356144,0.088,,,0,0.03,,,,,,,,,
DML-IVQR,dgp2,1000,500,0.5,0.75,500,500,0,1,-0.1484897502,-0.0744897502,0.669967344,0.866817862,0.8548599717,0.952,0.009559916318,0.933262564,0.970737436,3.164749924,3.388214834,0.284,,,0,0.034,,,,,,,,,
DML-IVQR,dgp2,1000,500,1,0.25,500,500,0,1,-0.0415102498,0.0744897502,0.514587754,0.6370769976,0.6363598886,0.97,0.007628892449,0.9550473708,0.9849526292,2.298046933,2.24708832,0.002,,,0,0.03,,,,,,,,,
DML-IVQR,dgp2,1000,500,1,0.5,500,500,0,1,-0.0132,0,0.3652,0.4638103061,0.4640867516,0.96,0.00876356092,0.9428234206,0.9771765794,1.91642121,1.853461842,0,,,0,0,,,,,,,,,
DML-IVQR,dgp2,1000,500,1,0.75,500,500,0,1,-0.0636897502,-0.0744897502,0.420053057,0.5369727593,0.5337162787,0.938,0.01078480412,0.9168617839,0.9591382161,2.182963079,2.095791939,0.002,,,0,0.008,,,,,,,,,
DML-IVQR,dgp3,500,200,0.1,0.25,500,500,0,1,0.6860892088,0.7628892088,1.246912092,1.461786634,1.292068358,0.952,0.009559916318,0.933262564,0.970737436,3.788707945,4,0.734,,,0,0.152,,,,,,,,,
DML-IVQR,dgp3,500,200,0.1,0.5,500,499,1,1,0.0476,0.2,1.0772,1.239774173,1.240100778,0.9478957916,0.009948702082,0.9283963355,0.9673952477,3.758516941,4,0.726,,,0.002,0.134,,,,,,,,,
DML-IVQR,dgp3,500,200,0.1,0.75,500,499,1,1,-0.1860892088,0.03711079121,1.027884432,1.218331217,1.205241459,0.9719438878,0.007392376346,0.9574548301,0.9864329454,3.836195131,4,0.794,,,0.002,0.138,,,,,,,,,
DML-IVQR,dgp3,500,200,0.25,0.25,500,500,0,1,0.3668892088,0.3628892088,1.000404489,1.213866422,1.15825174,0.954,0.009368457717,0.9356378229,0.9723621771,3.561258433,3.961741078,0.476,,,0,0.098,,,,,,,,,
DML-IVQR,dgp3,500,200,0.25,0.5,500,500,0,1,-0.0224,0,0.9176,1.094202906,1.095069218,0.946,0.01010781876,0.9261886752,0.9658113248,3.437951111,3.687508691,0.384,,,0,0.066,,,,,,,,,
