dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,1000,200,1.0,0.25,dml_ivqr,10,10,0.2244897501960817,0.1744897501960817,0.26999194051508124,0.2244897501960817,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,,0.0,,21.80347031999845,,10,
dgp1,1000,200,1.0,0.25,oracle,10,10,0.6744897501960817,0.6744897501960817,0.6744897501960818,0.6744897501960817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.4224986300047021,,10,
dgp1,1000,200,1.0,0.25,post_selection_ivqr,10,10,0.37448975019608166,0.1744897501960817,0.44748471817697155,0.37448975019608166,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,,0.0,22.6,9.543205309991027,,10,
dgp1,1000,200,1.0,0.5,dml_ivqr,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.05,0.05,0.0,0.0,0.0,0.0,,0.0,,26.682670320011674,,10,
dgp1,1000,200,1.0,0.5,oracle,10,10,0.05,0.0,0.27386127875258304,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.6063574400031939,,10,
dgp1,1000,200,1.0,0.5,post_selection_ivqr,10,10,0.1,0.0,0.22360679774997896,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.8,0.0,,0.0,20.9,8.147814009996363,,10,
dgp1,1000,200,1.0,0.75,dml_ivqr,10,10,-0.12448975019608159,-0.1744897501960816,0.19492998205479525,0.18959180015686528,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,,20.953576279996195,,10,
dgp1,1000,200,1.0,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,10.0,0.5968159400043078,,10,
dgp1,1000,200,1.0,0.75,post_selection_ivqr,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,,0.0,21.6,8.731323440006236,,10,
dgp1,1000,500,0.1,0.25,dml_ivqr,10,10,0.6744897501960816,0.6744897501960817,1.4159577758957267,1.1697959000784326,0.8,0.8,3.05,3.05,0.0,0.0,0.0,0.4,,0.0,,88.60921950000338,,10,
dgp1,1000,500,0.1,0.25,oracle,10,10,1.4744897501960819,1.6744897501960816,1.7274605707318773,1.6395918001568652,0.0,0.0,1.9,1.9,0.0,0.0,0.1,0.6,,0.0,10.0,0.9212496400054079,,10,
dgp1,1000,500,0.1,0.25,post_selection_ivqr,10,10,1.5744897501960817,1.6744897501960816,1.751861288308101,1.5744897501960817,0.6,0.6,2.9,2.9,0.0,0.0,0.0,0.3,,0.0,26.0,12.397481619997416,,10,
dgp1,1000,500,0.1,0.5,dml_ivqr,10,10,0.05,0.0,1.1067971810589328,0.85,0.9,0.9,2.75,2.75,0.0,0.0,0.0,0.4,,0.0,,111.15460403998732,,10,
dgp1,1000,500,0.1,0.5,oracle,10,10,-1.0,-1.25,1.5491933384829668,1.4,0.1,0.1,1.95,1.95,0.0,0.0,0.0,0.8,,0.0,10.0,0.8150135100004263,,10,
dgp1,1000,500,0.1,0.5,post_selection_ivqr,10,10,-0.45,-0.75,1.1510864433221337,0.95,0.4,0.4,1.95,1.95,0.0,0.0,0.0,0.8,,0.0,31.4,12.96094159000786,,10,
