dgp,n,p,pi,tau,estimator,replications,valid_estimates,bias,median_bias,rmse,mae,coverage,coverage_valid_only,avg_cr_length,avg_cr_length_valid_only,failure_rate,non_convergence_rate,cr_empty_rate,cr_disconnected_rate,boundary_rate,mean_failed_alpha_count,mean_selected_controls,mean_runtime_seconds,expected_replications,observed_replications,completion_rate
dgp1,500,200,1.0,0.5,dml_ivqr,10,10,0.15,0.0,0.27386127875258304,0.15,0.8,0.8,0.4797873431474322,0.4797873431474322,0.0,0.0,0.0,0.0,,0.0,,10.866703510005028,,10,
dgp1,500,200,1.0,0.5,oracle,10,10,0.05,0.0,0.15811388300841897,0.05,1.0,1.0,0.27572437309743225,0.27572437309743225,0.0,0.0,0.0,0.0,,0.0,10.0,0.4379923200060148,,10,
dgp1,500,200,1.0,0.5,post_selection_ivqr,10,10,0.0,0.0,0.0,0.0,1.0,1.0,0.3310444670449218,0.3310444670449218,0.0,0.0,0.0,0.0,,0.0,20.6,3.670014930004254,,10,
dgp1,500,200,1.0,0.75,dml_ivqr,10,10,-0.1744897501960816,-0.1744897501960816,0.28363122698936194,0.23959180015686526,0.6,0.6,0.7647111303809899,0.7647111303809899,0.0,0.0,0.0,0.0,,0.0,,9.87110760998912,,10,
dgp1,500,200,1.0,0.75,oracle,10,10,-0.1744897501960816,-0.1744897501960816,0.1744897501960816,0.1744897501960816,0.0,0.0,0.3693744721513005,0.3693744721513005,0.0,0.0,0.0,0.0,,0.0,10.0,0.5027805299963802,,10,
dgp1,500,200,1.0,0.75,post_selection_ivqr,10,10,-0.024489750196081593,-0.1744897501960816,0.23043382534833395,0.21979590007843264,0.4,0.4,0.555518093449245,0.555518093449245,0.0,0.0,0.0,0.0,,0.0,22.5,4.407551510009216,,10,
dgp1,500,500,0.1,0.25,dml_ivqr,10,10,1.2744897501960817,1.1744897501960816,1.632275749790724,1.4395918001568653,0.8,0.8,3.620561339037225,3.620561339037225,0.0,0.0,0.0,0.3,,0.0,,34.935306249989665,,10,
dgp1,500,500,0.1,0.25,oracle,10,10,1.1244897501960818,1.1744897501960816,1.6084082809709872,1.4546938501176492,0.0,0.0,2.669781184931751,2.669781184931751,0.0,0.0,0.0,0.9,,0.0,10.0,0.3889874899992719,,10,
dgp1,500,500,0.1,0.25,post_selection_ivqr,10,10,0.7244897501960816,0.6744897501960817,1.1168640911673993,0.9546938501176492,0.9,0.9,3.6297804846577413,3.6297804846577413,0.0,0.0,0.0,0.1,,0.0,21.2,10.133962679986144,,10,
dgp1,500,500,0.1,0.5,dml_ivqr,10,10,0.4,0.75,1.0488088481701516,0.9,0.7,0.7,3.0145662143217637,3.0145662143217637,0.0,0.0,0.0,0.6,,0.0,,44.61302973999991,,10,
dgp1,500,500,0.1,0.5,oracle,10,10,1.35,1.5,1.541103500742244,1.45,0.2,0.2,2.355711664375606,2.355711664375606,0.0,0.0,0.0,0.8,,0.0,10.0,0.717758140002843,,10,
dgp1,500,500,0.1,0.5,post_selection_ivqr,10,10,0.45,0.75,1.1067971810589328,0.95,0.7,0.7,3.0714941911978384,3.0714941911978384,0.0,0.0,0.0,0.4,,0.0,24.0,11.767137079994427,,10,
dgp1,500,500,0.1,0.75,dml_ivqr,10,10,-0.3744897501960816,-0.1744897501960816,1.1619993859731268,1.0,0.8,0.8,3.667390280638935,3.667390280638935,0.0,0.0,0.0,0.2,,0.0,,35.7858035799989,,10,
dgp1,500,500,0.1,0.75,oracle,10,10,-1.1744897501960814,-1.1744897501960816,1.6520975072058108,1.4395918001568653,0.0,0.0,2.4687274959307484,2.4687274959307484,0.0,0.0,0.0,0.5,,0.0,10.0,0.5769837600004394,,10,
